FIPS,State,County,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,% Adults with Obesity,% Physically Inactive,% Excessive Drinking,Teen Birth Rate,% Completed High School,% Some College,% Unemployed,Income Inequality Ratio,Violent Crime Rate,Average Daily PM2.5,Life Expectancy,% Insufficient Sleep,Median Household Income,% rural
01000,Alabama,,4.81,5.62,21.41,36.30,30.80,14.80,27.60,86.87,61.58,5.88,5.16,479.92,9.00,74.84,39.63,"53,958.00",40.96
01001,Alabama,Autauga,4.51,5.42,20.10,35.30,32.20,16.16,22.98,88.71,60.72,4.88,5.14,272.28,9.50,76.59,38.44,"67,565.00",42.00
01003,Alabama,Baldwin,4.17,5.17,17.20,29.60,27.60,21.50,23.73,90.47,65.53,5.61,4.39,203.66,7.20,77.72,36.38,"71,135.00",42.28
01005,Alabama,Barbour,5.88,6.11,31.10,40.40,41.60,13.93,34.70,74.73,38.36,7.05,5.99,414.28,9.00,72.87,40.89,"38,866.00",67.79
01007,Alabama,Bibb,5.16,5.85,25.00,41.20,37.70,16.02,34.17,80.88,37.77,6.63,5.39,89.35,9.40,73.61,40.11,"50,907.00",68.35
01009,Alabama,Blount,4.95,5.74,23.20,38.70,33.30,16.17,29.51,82.83,56.27,4.09,4.76,482.69,9.40,74.17,38.85,"55,203.00",89.95
01011,Alabama,Bullock,5.51,5.69,31.10,43.80,41.30,13.45,40.34,74.94,28.08,5.50,8.11,311.03,9.00,73.81,44.65,"33,124.00",51.37
01013,Alabama,Butler,5.34,5.95,27.10,39.70,40.70,13.56,38.78,86.35,37.12,8.84,5.70,581.58,8.80,73.47,41.97,"42,268.00",71.23
01015,Alabama,Calhoun,4.94,5.74,23.70,35.90,32.60,16.17,30.49,85.07,57.98,7.05,4.76,756.07,9.40,72.83,38.27,"50,259.00",33.70
01017,Alabama,Chambers,5.11,5.81,25.30,39.50,36.90,14.20,37.35,82.58,54.36,6.79,4.46,529.00,9.30,73.76,40.51,"39,318.00",49.15
01019,Alabama,Cherokee,5.19,6.05,23.70,34.30,36.00,16.40,32.87,82.82,53.27,4.60,4.48,330.44,9.20,74.01,37.86,"50,388.00",85.74
01021,Alabama,Chilton,5.23,5.90,25.10,39.20,35.30,15.96,42.82,81.81,42.35,4.97,4.41,507.81,9.50,74.39,38.73,"52,693.00",86.74
01023,Alabama,Choctaw,5.41,6.07,27.30,39.70,37.80,14.11,30.35,82.69,64.17,6.67,5.38,128.41,9.20,74.21,41.72,"41,649.00",100.00
01025,Alabama,Clarke,5.41,6.02,27.60,44.40,39.60,13.78,38.43,82.61,42.65,9.01,6.91,475.31,9.20,71.74,42.70,"44,178.00",75.98
01027,Alabama,Clay,5.50,6.20,26.60,37.10,37.10,15.65,34.06,81.26,37.09,4.03,5.30,309.07,7.00,72.90,38.85,"44,763.00",100.00
01029,Alabama,Cleburne,5.07,5.95,22.90,35.60,33.60,16.45,31.10,82.19,50.38,4.57,4.83,103.33,9.00,74.35,38.24,"50,134.00",100.00
01031,Alabama,Coffee,4.60,5.41,21.70,34.60,33.30,15.83,25.97,85.65,63.43,4.39,4.96,276.21,8.60,75.27,37.40,"54,203.00",47.20
01033,Alabama,Colbert,4.78,5.67,21.90,35.90,33.20,16.41,29.50,85.69,55.53,6.58,4.67,400.01,7.50,73.88,39.82,"54,185.00",43.89
01035,Alabama,Conecuh,5.39,5.96,27.80,41.00,39.50,13.52,31.35,84.95,45.77,7.31,4.28,387.41,8.80,71.19,43.88,"34,664.00",80.95
01037,Alabama,Coosa,5.08,5.81,24.90,39.20,34.80,15.37,33.30,83.17,44.10,5.51,3.96,254.83,9.20,73.93,41.17,"46,509.00",100.00
01039,Alabama,Covington,5.11,5.95,23.60,36.60,35.60,15.18,39.95,85.34,52.00,4.86,5.24,331.12,8.60,72.92,37.71,"43,544.00",69.65
01041,Alabama,Crenshaw,5.12,5.89,24.60,35.60,35.60,15.21,31.88,78.82,49.58,5.71,5.72,331.91,8.70,72.59,38.57,"45,927.00",100.00
