FIPS,State,County,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,% Adults with Obesity,% Physically Inactive,% Excessive Drinking,Teen Birth Rate,% Completed High School,% Some College,% Unemployed,Income Inequality Ratio,Violent Crime Rate,Average Daily PM2.5,Life Expectancy,% Insufficient Sleep,Median Household Income,% rural
1000,Alabama,,4.8,5.6,21,36,31,15,28,87,62,5.9,5.2,480,9,74.8,40,53958,41
1001,Alabama,Autauga,4.5,5.4,20,35,32,16,23,89,61,4.9,5.1,272,9.5,76.6,38,67565,42
1003,Alabama,Baldwin,4.2,5.2,17,30,28,22,24,90,66,5.6,4.4,204,7.2,77.7,36,71135,42.3
1005,Alabama,Barbour,5.9,6.1,31,40,42,14,35,75,38,7,6,414,9,72.9,41,38866,67.8
1007,Alabama,Bibb,5.2,5.8,25,41,38,16,34,81,38,6.6,5.4,89,9.4,73.6,40,50907,68.4
1009,Alabama,Blount,4.9,5.7,23,39,33,16,30,83,56,4.1,4.8,483,9.4,74.2,39,55203,90
1011,Alabama,Bullock,5.5,5.7,31,44,41,13,40,75,28,5.5,8.1,311,9,73.8,45,33124,51.4
1013,Alabama,Butler,5.3,6,27,40,41,14,39,86,37,8.8,5.7,582,8.8,73.5,42,42268,71.2
1015,Alabama,Calhoun,4.9,5.7,24,36,33,16,30,85,58,7.1,4.8,756,9.4,72.8,38,50259,33.7
1017,Alabama,Chambers,5.1,5.8,25,40,37,14,37,83,54,6.8,4.5,529,9.3,73.8,41,39318,49.1
1019,Alabama,Cherokee,5.2,6,24,34,36,16,33,83,53,4.6,4.5,330,9.2,74,38,50388,85.7
1021,Alabama,Chilton,5.2,5.9,25,39,35,16,43,82,42,5,4.4,508,9.5,74.4,39,52693,86.7
1023,Alabama,Choctaw,5.4,6.1,27,40,38,14,30,83,64,6.7,5.4,128,9.2,74.2,42,41649,100
1025,Alabama,Clarke,5.4,6,28,44,40,14,38,83,43,9,6.9,475,9.2,71.7,43,44178,76
1027,Alabama,Clay,5.5,6.2,27,37,37,16,34,81,37,4,5.3,309,7,72.9,39,44763,100
1029,Alabama,Cleburne,5.1,5.9,23,36,34,16,31,82,50,4.6,4.8,103,9,74.3,38,50134,100
1031,Alabama,Coffee,4.6,5.4,22,35,33,16,26,86,63,4.4,5,276,8.6,75.3,37,54203,47.2
1033,Alabama,Colbert,4.8,5.7,22,36,33,16,30,86,56,6.6,4.7,400,7.5,73.9,40,54185,43.9
1035,Alabama,Conecuh,5.4,6,28,41,40,14,31,85,46,7.3,4.3,387,8.8,71.2,44,34664,80.9
1037,Alabama,Coosa,5.1,5.8,25,39,35,15,33,83,44,5.5,4,255,9.2,73.9,41,46509,100
1039,Alabama,Covington,5.1,5.9,24,37,36,15,40,85,52,4.9,5.2,331,8.6,72.9,38,43544,69.7
1041,Alabama,Crenshaw,5.1,5.9,25,36,36,15,32,79,50,5.7,5.7,332,8.7,72.6,39,45927,100
1043,Alabama,Cullman,4.9,5.8,22,33,34,17,37,82,55,4.3,4.3,129,9.3,73.9,37,51844,73.2
1045,Alabama,Dale,4.9,5.6,23,38,33,15,32,85,60,4.9,5,437,8.6,74.9,41,48493,50.9
1047,Alabama,Dallas,5.6,6,29,47,41,13,35,84,55,10.7,5.8,925,9.1,71.1,44,37679,45.6
1049,Alabama,DeKalb,5.6,6,27,35,41,14,35,78,51,4.5,4.6,312,7.1,73.8,39,47156,90.1
1051,Alabama,Elmore,4.4,5.4,21,36,33,16,24,87,55,4.9,4.3,239,9.6,75.3,39,62524,54.2
1053,Alabama,Escambia,5.5,6,28,39,39,14,42,80,38,6,5.5,446,8.9,72.2,43,41212,63.5
1055,Alabama,Etowah,4.9,5.8,23,35,34,15,38,85,56,7.7,4.7,604,7.7,72.5,39,47872,37.5
1057,Alabama,Fayette,5.3,6.1,25,37,35,15,36,84,49,5,5.4,,8.9,73.1,40,45937,80.2
1059,Alabama,Franklin,5.2,5.7,26,38,37,15,44,79,43,4.4,4.3,264,8.5,73.7,39,40448,70.4
1061,Alabama,Geneva,5.3,6.1,25,36,35,15,40,82,48,4.1,5,414,8.4,72.6,38,39882,89.6
1063,Alabama,Greene,6.3,6.4,36,47,46,11,46,81,50,10.9,5.2,669,9.1,72.9,48,33609,100
1065,Alabama,Hale,5.5,6,29,44,40,14,34,81,50,9.4,6.6,209,9.2,72.5,43,41836,89.2
1067,Alabama,Henry,4.9,5.7,23,39,35,16,28,80,51,4.8,5.7,197,8.5,75.5,40,51126,87.8
1069,Alabama,Houston,4.9,5.7,23,40,36,15,33,87,59,5.4,5.1,488,7.6,75.6,40,54391,33.8
1071,Alabama,Jackson,5.3,6.1,24,39,36,16,31,83,50,5.3,4.8,317,8.7,73.3,40,46606,77
1073,Alabama,Jefferson,4.4,5.2,19,34,30,17,25,91,69,6.2,5.3,873,10.2,74.1,40,57802,9.8
1075,Alabama,Lamar,5.4,6.1,25,36,37,16,37,83,49,4.9,5.9,162,9,75.3,39,40204,100
1077,Alabama,Lauderdale,4.7,5.6,21,33,30,17,20,89,58,5.5,4.6,269,8.5,75.9,38,52293,49.3
1079,Alabama,Lawrence,5.3,6.1,25,36,35,16,35,81,53,4.9,4.7,260,8.7,72.9,39,48924,91.3
1081,Alabama,Lee,4.5,5.3,20,34,29,15,15,90,74,5.2,6.3,416,9.6,77.7,39,58963,27.4
1083,Alabama,Limestone,4.5,5.4,21,34,31,16,22,85,61,4.3,4.6,160,8.8,77.1,39,70850,57.6
1085,Alabama,Lowndes,5.7,6.1,32,46,43,12,30,82,42,13.3,5.5,671,8.9,70.3,46,37499,100
1087,Alabama,Macon,5.3,5.7,28,40,39,12,21,84,54,9.6,5.4,734,9.4,71.3,45,37736,55.5
1089,Alabama,Madison,4,4.9,18,33,28,18,18,92,75,4.6,5.1,611,7.5,77.4,38,67810,16.4
1091,Alabama,Marengo,5.3,5.8,27,44,40,14,25,85,51,6.2,6.5,449,9.2,71,43,43198,69.3
1093,Alabama,Marion,5.3,6.1,24,36,34,16,39,81,58,5.1,5,296,8.7,73.1,38,44333,88.9
